book_id,title,genres
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","['drama', 'fairytale', 'science-fiction']"
123,"The Firm (Penguin Readers, Level 5)",['drama']
124,Room,['young-adult']
125,Hamlet,"['fantasy', 'romance']"
127,The Tipping Point: How Little Things Can Make a Big Difference,['history']
128,Steve Jobs,['science']
129,One Flew Over the Cuckoo's Nest,"['historical-fiction', 'satire']"
130,The Old Man and the Sea,"['drama', 'young-adult']"
131,The Grapes of Wrath,['young-adult']
132,The Five People You Meet in Heaven,"['romance', 'young-adult']"
133,"Anne of Green Gables (Anne of Green Gables, #1)",['chick-lit']
135,"A Storm of Swords (A Song of Ice and Fire, #3)","['drama', 'romance']"
136,Divine Secrets of the Ya-Ya Sisterhood,"['coming-of-age', 'drama', 'historical-fiction', 'romance', 'young-adult']"
141,The Martian,['drama']
142,"The Pillars of the Earth (The Kingsbridge Series, #1)","['mystery', 'suspense', 'thriller']"
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",['autobiography']
145,Deception Point,"['drama', 'fantasy', 'historical-fiction', 'romance', 'science']"
148,Girl with a Pearl Earring,"['chick-lit', 'coming-of-age', 'drama', 'young-adult']"
150,The Red Tent,"['drama', 'fantasy']"
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",['romance']
154,Macbeth,"['history', 'horror', 'young-adult']"
156,"Something Borrowed (Darcy & Rachel, #1)","['drama', 'young-adult']"
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",['mystery']
160,Great Expectations,['young-adult']
162,The Stranger,['drama']
163,"The Lost Hero (The Heroes of Olympus, #1)",['romance']
165,"A Feast for Crows (A Song of Ice and Fire, #4)",['drama']
166,"Matched (Matched, #1)","['chick-lit', 'coming-of-age']"
169,The Last Song,['coming-of-age']
170,Digital Fortress,"['drama', 'fantasy', 'historical-fiction', 'romance', 'science']"
171,Emma,"['drama', 'history']"
173,A Clockwork Orange,"['drama', 'mystery', 'thriller', 'young-adult']"
174,The Shack,"['drama', 'mystery', 'self-help', 'suspense']"
176,It,['science-fiction']
177,Crime and Punishment,['history']
178,The Bell Jar,"['autobiography', 'historical-fiction', 'memoir']"
179,"Angela's Ashes (Frank McCourt, #1)",['drama']
180,Siddhartha,"['biography', 'self-help']"
181,In Cold Blood,['drama']
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",['young-adult']
188,"A Dance with Dragons (A Song of Ice and Fire, #5)","['drama', 'historical-fiction']"
190,Wild: From Lost to Found on the Pacific Crest Trail,['chick-lit']
191,Watchmen,['thriller']
193,Outliers: The Story of Success,"['history', 'science']"
194,"Moby-Dick or, The Whale","['drama', 'fantasy', 'history']"
195,The Guernsey Literary and Potato Peel Pie Society,['drama']
196,Fight Club,"['drama', 'fantasy', 'horror', 'suspense']"
197,"Dead Until Dark (Sookie Stackhouse, #1)","['crime', 'science-fiction', 'suspense', 'thriller']"
198,The Color Purple,"['drama', 'history']"
199,Marley and Me: Life and Love With the World's Worst Dog,"['chick-lit', 'drama', 'romance', 'young-adult']"
200,And Then There Were None,"['historical-fiction', 'young-adult']"
201,"The Lost Symbol (Robert Langdon, #3)","['drama', 'science-fiction']"
204,A Christmas Carol,['drama']
205,"Interview with the Vampire (The Vampire Chronicles, #1)","['drama', 'mystery', 'paranormal-romance', 'science-fiction', 'suspense', 'thriller']"
208,The Immortal Life of Henrietta Lacks,['historical-fiction']
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",['drama']
210,"Vampire Academy (Vampire Academy, #1)","['drama', 'horror']"
212,Atonement,"['coming-of-age', 'mystery']"
213,The Metamorphosis,['drama']
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",['mystery']
216,The Art of Racing in the Rain,"['drama', 'fantasy', 'memoir', 'young-adult']"
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","['drama', 'horror', 'suspense', 'thriller']"
218,"Bared to You (Crossfire, #1)",['drama']
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","['science-fiction', 'young-adult']"
220,Twilight: The Complete Illustrated Movie Companion,"['chick-lit', 'horror', 'paranormal-romance', 'romance']"
221,"A Child Called ""It"" (Dave Pelzer #1)","['horror', 'self-help', 'true-crime']"
222,"The Bourne Identity (Jason Bourne, #1)",['drama']
225,East of Eden,"['coming-of-age', 'drama', 'history']"
227,The Client,['drama']
228,"The Nanny Diaries (Nanny, #1)","['drama', 'memoir', 'young-adult']"
229,Alice's Adventures in Wonderland & Through the Looking-Glass,['poetry']
230,Persuasion,['drama']
231,Sarah's Key,"['chick-lit', 'drama', 'mystery', 'young-adult']"
232,"The Gunslinger (The Dark Tower, #1)",['suspense']
233,Love in the Time of Cholera,"['drama', 'fantasy', 'history', 'romance']"
235,The Husband's Secret,"['chick-lit', 'thriller']"
236,Into Thin Air: A Personal Account of the Mount Everest Disaster,"['autobiography', 'suspense', 'thriller']"
237,Carrie,"['coming-of-age', 'drama']"
238,Running with Scissors,"['coming-of-age', 'drama', 'young-adult']"
239,World War Z: An Oral History of the Zombie War,"['historical-fiction', 'history', 'science', 'suspense', 'young-adult']"
240,"Inferno (Robert Langdon, #4)","['art', 'drama', 'fantasy', 'science-fiction']"
241,Number the Stars,['coming-of-age']
242,"Along Came a Spider (Alex Cross, #1)",['horror']
243,Misery,"['crime', 'drama', 'fantasy']"
245,Bridge to Terabithia,['drama']
246,"Marked (House of Night, #1)","['chick-lit', 'horror', 'mystery']"
248,A Midsummer Night's Dream,['historical-fiction']
249,Extremely Loud and Incredibly Close,['mystery']
250,Wonder,['drama']
251,The Cat in the Hat,['young-adult']
255,Atlas Shrugged,"['drama', 'fantasy', 'historical-fiction', 'mystery', 'romance', 'science']"
260,How to Win Friends and Influence People,['self-help']
261,Under the Tuscan Sun,"['autobiography', 'drama']"
262,Big Little Lies,['romance']
263,Ella Enchanted,"['chick-lit', 'coming-of-age', 'historical-fiction']"
264,The Sun Also Rises,"['drama', 'history', 'romance', 'travel']"
265,A Tree Grows in Brooklyn,"['history', 'memoir']"
266,"Kiss the Girls (Alex Cross, #2)","['drama', 'horror']"
267,The Nightingale,['chick-lit']
268,Never Let Me Go,"['mystery', 'science']"
269,P.S. I Love You,['young-adult']
271,Flowers for Algernon,"['romance', 'science']"
272,Like Water for Chocolate,"['chick-lit', 'drama']"
273,Snow Flower and the Secret Fan,"['coming-of-age', 'drama', 'romance', 'young-adult']"
274,The Godfather,['suspense']
278,A Light in the Attic,"['fantasy', 'picture-book']"
281,The Pelican Brief,"['drama', 'thriller']"
282,Coraline,"['science-fiction', 'thriller']"
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","['horror', 'young-adult']"
284,On the Road,"['autobiography', 'historical-fiction', 'poetry']"
286,The Lucky One,"['suspense', 'young-adult']"
287,The Fountainhead,"['drama', 'historical-fiction', 'romance', 'science-fiction']"
288,"The Hunt for Red October (Jack Ryan Universe, #4)","['crime', 'drama', 'history', 'political-thriller']"
291,Cutting for Stone,"['coming-of-age', 'drama', 'history']"
292,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","['fantasy', 'science-fiction']"
293,Treasure Island,"['history', 'thriller']"
295,11/22/63,"['crime', 'drama']"
296,The Very Hungry Caterpillar Board Book,['fantasy']
297,Cat's Cradle,['science']
298,The Time Machine,"['historical-fiction', 'horror', 'science', 'travel', 'young-adult']"
299,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"['biography', 'self-help', 'young-adult']"
301,Heart of Darkness,"['drama', 'travel']"
302,Safe Haven,"['mystery', 'suspense', 'thriller', 'young-adult']"
304,I Know This Much Is True,"['chick-lit', 'drama', 'historical-fiction']"
305,Pet Sematary,['science-fiction']
306,She's Come Undone,"['romance', 'young-adult']"
307,"The Wise Man's Fear (The Kingkiller Chronicle, #2)","['coming-of-age', 'romance', 'science-fiction', 'young-adult']"
308,Can You Keep a Secret?,['young-adult']
310,"Good in Bed (Cannie Shapiro, #1)",['drama']
311,The Thorn Birds,"['history', 'romance']"
313,The Light Between Oceans,"['chick-lit', 'history', 'mystery']"
314,"Inkheart (Inkworld, #1)","['mystery', 'romance']"
316,A Walk in the Woods,"['autobiography', 'science']"
317,I Know Why the Caged Bird Sings,"['history', 'young-adult']"
318,Orphan Train,['drama']
320,"Where'd You Go, Bernadette","['coming-of-age', 'satire', 'travel', 'young-adult']"
321,Where the Red Fern Grows,['drama']
323,The Unbearable Lightness of Being,"['drama', 'history']"
325,A Prayer for Owen Meany,['drama']
326,White Oleander,['crime']
327,"Legend (Legend, #1)","['suspense', 'thriller']"
328,Nineteen Minutes,"['coming-of-age', 'romance', 'suspense']"
329,The Last Lecture,['science']
330,"The Eye of the World (Wheel of Time, #1)",['young-adult']
331,The Pact,"['coming-of-age', 'crime', 'suspense']"
332,"The Magician's Nephew (Chronicles of Narnia, #6)",['science-fiction']
333,Still Alice,"['chick-lit', 'memoir', 'science']"
334,"Reflected in You (Crossfire, #2)",['drama']
336,"1st to Die (Women's Murder Club, #1)",['romance']
337,The Ultimate Hitchhiker's Guide to the Galaxy,"['anthology', 'satire', 'science', 'young-adult']"
338,One Day,"['coming-of-age', 'young-adult']"
339,Goodnight Moon,"['fantasy', 'young-adult']"
340,"I Am Number Four (Lorien Legacies, #1)","['mystery', 'paranormal-romance', 'thriller']"
341,The Iliad,['drama']
342,The Casual Vacancy,['fantasy']
343,The Runaway Jury,['drama']
344,Naked,"['autobiography', 'coming-of-age', 'satire', 'short-story']"
345,"Eldest (The Inheritance Cycle, #2)","['coming-of-age', 'romance', 'science-fiction']"
347,"Prince Caspian (Chronicles of Narnia, #2)",['science-fiction']
349,'Salem's Lot,"['fantasy', 'science-fiction']"
350,Fear and Loathing in Las Vegas,"['autobiography', 'history', 'satire']"
352,Yes Please,['chick-lit']
353,Othello,['history']
354,Beloved,['drama']
355,"Graceling (Graceling Realm, #1)","['mystery', 'paranormal-romance', 'science-fiction']"
357,All Quiet on the Western Front,"['drama', 'young-adult']"
358,"Oh, The Places You'll Go!","['coming-of-age', 'self-help', 'travel']"
359,And the Mountains Echoed,['history']
360,Do Androids Dream of Electric Sheep?,"['crime', 'mystery', 'thriller']"
361,Oliver Twist,"['coming-of-age', 'crime', 'history']"
362,The Screwtape Letters,['satire']
363,"Anna and the French Kiss (Anna and the French Kiss, #1)",['coming-of-age']
364,How the Grinch Stole Christmas!,['young-adult']
365,V for Vendetta,"['alternate-history', 'comic-book', 'crime', 'mystery', 'thriller']"
366,John Adams,"['autobiography', 'historical-fiction']"
367,"Odd Thomas (Odd Thomas, #1)","['crime', 'drama', 'romance', 'science-fiction']"
368,"The Subtle Knife (His Dark Materials, #2)","['coming-of-age', 'romance']"
369,"Stargirl (Stargirl, #1)","['chick-lit', 'drama']"
370,"The Red Pyramid (Kane Chronicles, #1)","['historical-fiction', 'romance']"
372,Dress Your Family in Corduroy and Denim,"['autobiography', 'satire', 'short-story']"
374,A Short History of Nearly Everything,['travel']
375,The Call of the Wild,"['drama', 'fantasy']"
376,"The Death Cure (Maze Runner, #3)","['romance', 'suspense']"
377,Stardust,['coming-of-age']
378,The Namesake,"['coming-of-age', 'drama', 'historical-fiction']"
379,"A Discovery of Witches (All Souls Trilogy, #1)","['chick-lit', 'history', 'horror', 'science-fiction']"
380,Norwegian Wood,"['fantasy', 'young-adult']"
381,Where the Heart Is,"['coming-of-age', 'drama', 'young-adult']"
383,A Million Little Pieces,"['autobiography', 'drama']"
384,"Frostbite (Vampire Academy, #2)","['horror', 'mystery']"
385,Quiet: The Power of Introverts in a World That Can't Stop Talking,"['health', 'history', 'science']"
386,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)","['fantasy', 'history']"
387,The Crucible,['young-adult']
390,The Strange Case of Dr. Jekyll and Mr. Hyde,['suspense']
391,The Lorax,"['science', 'young-adult']"
392,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",['coming-of-age']
394,"Shadow Kiss (Vampire Academy, #3)",['mystery']
395,For Whom the Bell Tolls,"['drama', 'romance']"
396,Hotel on the Corner of Bitter and Sweet,"['drama', 'young-adult']"
399,The Tales of Beedle the Bard,"['anthology', 'fairytale']"
400,Neuromancer,"['crime', 'fantasy', 'thriller']"
401,A Farewell to Arms,['drama']
402,The Tell-Tale Heart and Other Writings,"['anthology', 'crime', 'fantasy', 'historical-fiction', 'mystery', 'poetry', 'science-fiction', 'short-story', 'suspense', 'thriller', 'young-adult']"
403,The Art of War,['science']
404,Defending Jacob,['drama']
405,Breakfast of Champions,"['fantasy', 'science']"
406,The New Drawing on the Right Side of the Brain,"['art', 'science', 'textbook']"
407,Bel Canto,"['drama', 'mystery', 'suspense']"
409,Fried Green Tomatoes at the Whistle Stop Cafe,"['coming-of-age', 'drama', 'history', 'mystery', 'romance']"
410,"Things Fall Apart (The African Trilogy, #1)","['drama', 'young-adult']"
411,The Undomestic Goddess,"['drama', 'young-adult']"
412,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,['romance']
413,The Three Musketeers,"['drama', 'fantasy', 'young-adult']"
414,Little Bee,"['chick-lit', 'coming-of-age']"
415,"Evermore (The Immortals, #1)","['chick-lit', 'mystery']"
416,The Witches,['horror']
417,The Thirteenth Tale,"['chick-lit', 'horror', 'romance', 'young-adult']"
418,"Spirit Bound (Vampire Academy, #5)",['mystery']
420,Message in a Bottle,"['drama', 'young-adult']"
421,The Paris Wife,"['chick-lit', 'drama', 'memoir', 'travel']"
422,"Harry Potter Boxset (Harry Potter, #1-7)","['coming-of-age', 'mystery', 'romance', 'science-fiction']"
424,The Name of the Rose,"['fantasy', 'suspense']"
425,Go Ask Alice,"['autobiography', 'diary', 'drama']"
429,"The Color of Magic (Discworld, #1; Rincewind #1)",['young-adult']
430,Kafka on the Shore,"['coming-of-age', 'drama', 'mystery', 'romance']"
431,"Red Dragon (Hannibal Lecter, #1)",['drama']
432,"I, Robot (Robot #0.1)","['anthology', 'mystery', 'science', 'science-fiction', 'short-story']"
433,"Dark Lover (Black Dagger Brotherhood, #1)","['chick-lit', 'horror', 'suspense']"
436,The God of Small Things,"['drama', 'romance']"
437,The Invention of Wings,"['biography', 'coming-of-age', 'drama']"
438,What Alice Forgot,"['drama', 'mystery', 'thriller']"
440,"Fall of Giants (The Century Trilogy, #1)","['drama', 'fantasy', 'romance']"
441,Under the Dome,['drama']
442,Snow Crash,"['mystery', 'thriller']"
443,Just Listen,"['coming-of-age', 'drama']"
445,Before I Go to Sleep,"['drama', 'horror']"
446,A Study in Scarlet,['suspense']
447,"Brisingr (The Inheritance Cycle, #3)","['romance', 'science-fiction']"
449,"Betrayed (House of Night, #2)","['chick-lit', 'horror', 'paranormal-romance']"
450,"Storm Front (The Dresden Files, #1)",['suspense']
451,Northanger Abbey,"['coming-of-age', 'drama', 'mystery']"
452,"The 5th Wave (The 5th Wave, #1)",['mystery']
453,Cold Mountain,['drama']
454,If You Give a Mouse a Cookie,['fantasy']
455,"Something Blue (Darcy & Rachel, #2)","['drama', 'young-adult']"
456,A Streetcar Named Desire,"['historical-fiction', 'romance']"
457,The Historian,"['drama', 'horror', 'romance', 'travel']"
458,Station Eleven,['young-adult']
459,A Man Called Ove,['drama']
460,"Clockwork Princess (The Infernal Devices, #3)",['mystery']
461,"The Good Earth (House of Earth, #1)","['drama', 'young-adult']"
462,Ways of Seeing,"['history', 'science']"
463,"Dragonfly in Amber (Outlander, #2)","['drama', 'paranormal-romance']"
464,Holy Bible: King James Version,"['biography', 'historical-fiction', 'horror', 'poetry', 'romance', 'self-help']"
465,In Her Shoes,['drama']
466,The Hobbit: Graphic Novel,"['science-fiction', 'young-adult']"
467,The Brief Wondrous Life of Oscar Wao,"['coming-of-age', 'drama', 'fantasy', 'historical-fiction', 'history', 'romance']"
468,Their Eyes Were Watching God,"['history', 'young-adult']"
471,Mansfield Park,"['chick-lit', 'drama']"
472,Man's Search for Meaning,['science']
473,"In the Woods (Dublin Murder Squad, #1)",['horror']
474,The God Delusion,['history']
476,The World According to Garp,"['coming-of-age', 'drama']"
478,Robinson Crusoe,"['fantasy', 'history', 'travel', 'young-adult']"
479,The Prince,"['science', 'self-help']"
480,"The Amber Spyglass (His Dark Materials, #3)","['coming-of-age', 'mystery']"
481,"Wizard's First Rule (Sword of Truth, #1)","['science-fiction', 'young-adult']"
482,The Kitchen House,"['chick-lit', 'drama', 'history']"
483,Franny and Zooey,"['coming-of-age', 'short-story', 'young-adult']"
484,Choke,"['drama', 'horror', 'satire', 'thriller']"
485,The Brothers Karamazov,"['crime', 'drama', 'history', 'mystery', 'romance']"
487,The Andromeda Strain,"['drama', 'fantasy']"
488,The Green Mile,['science-fiction']
489,The Prophet,['self-help']
490,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)","['art', 'autobiography']"
491,"Untamed (House of Night, #4)","['chick-lit', 'horror', 'mystery']"
492,"Speaker for the Dead (Ender's Saga, #2)","['fantasy', 'mystery', 'young-adult']"
493,Mere Christianity,['self-help']
494,The Secret History,"['coming-of-age', 'drama', 'historical-fiction']"
495,A Heartbreaking Work of Staggering Genius,"['autobiography', 'coming-of-age']"
496,"The Clan of the Cave Bear (Earth's Children, #1)","['chick-lit', 'fantasy', 'science-fiction', 'young-adult']"
497,Black Beauty,['fantasy']
498,War and Peace,['drama']
499,American Psycho,"['drama', 'suspense']"
500,"The Princess Diaries (The Princess Diaries, #1)","['coming-of-age', 'diary', 'drama', 'fantasy']"
501,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)","['chick-lit', 'suspense', 'thriller']"
502,"The Walking Dead, Vol. 01: Days Gone Bye","['drama', 'thriller']"
504,Redeeming Love,"['history', 'romance', 'young-adult']"
505,"Left Behind (Left Behind, #1)","['drama', 'mystery', 'science-fiction', 'suspense', 'young-adult']"
507,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)","['drama', 'fantasy', 'suspense', 'thriller']"
508,Nickel and Dimed: On (Not) Getting By in America,"['biography', 'history', 'memoir']"
509,Remember Me?,['young-adult']
510,"The Great Hunt (Wheel of Time, #2)","['romance', 'science-fiction', 'young-adult']"
511,"Postmortem (Kay Scarpetta, #1)","['drama', 'horror', 'thriller']"
512,The Complete Stories and Poems,"['anthology', 'crime', 'drama', 'historical-fiction', 'science-fiction', 'short-story', 'suspense', 'thriller', 'young-adult']"
513,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,['young-adult']
514,The Adventures of Sherlock Holmes,"['anthology', 'short-story', 'suspense', 'young-adult']"
515,The Prince of Tides,"['chick-lit', 'drama', 'historical-fiction', 'mystery']"
516,The Amazing Adventures of Kavalier & Clay,"['coming-of-age', 'fantasy']"
517,"Perfect Chemistry (Perfect Chemistry, #1)","['coming-of-age', 'drama']"
518,Peter Pan,['coming-of-age']
519,"Pretties (Uglies, #2)",['coming-of-age']
520,The Wind-Up Bird Chronicle,"['drama', 'historical-fiction', 'science-fiction']"
521,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",['drama']
522,Cloud Atlas,"['drama', 'history', 'romance', 'thriller']"
523,The Things They Carried,"['biography', 'historical-fiction', 'memoir', 'short-story', 'young-adult']"
524,Wall and Piece,"['biography', 'memoir', 'poetry']"
525,"Pandemonium (Delirium, #2)",['romance']
526,"Darkly Dreaming Dexter (Dexter, #1)","['drama', 'fantasy']"
527,"Living Dead in Dallas (Sookie Stackhouse, #2)","['crime', 'science-fiction', 'suspense', 'young-adult']"
528,"The Dragon Reborn (Wheel of Time, #3)","['science-fiction', 'young-adult']"
529,Gulliver's Travels,"['historical-fiction', 'science-fiction', 'young-adult']"
530,Much Ado About Nothing,['historical-fiction']
531,Beowulf,['horror']
532,Batman: Year One,"['comic-book', 'crime', 'fantasy', 'mystery', 'science-fiction', 'thriller', 'young-adult']"
533,Go Set a Watchman,"['drama', 'history']"
534,When You Are Engulfed in Flames,"['autobiography', 'satire', 'short-story', 'travel']"
537,The Power of Habit: Why We Do What We Do in Life and Business,['health']
538,Midnight in the Garden of Good and Evil,"['biography', 'drama', 'suspense', 'thriller']"
539,"Hopeless (Hopeless, #1)","['coming-of-age', 'mystery']"
540,A Little Princess,"['coming-of-age', 'drama', 'fantasy']"
541,The Truth About Forever,"['coming-of-age', 'drama']"
543,"Last Sacrifice (Vampire Academy, #6)",['mystery']
546,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,['autobiography']
547,The War of the Worlds,"['science', 'thriller']"
548,"Pretty Little Liars (Pretty Little Liars, #1)","['crime', 'suspense']"
549,Corduroy,['fantasy']
550,The Omnivore's Dilemma: A Natural History of Four Meals,"['memoir', 'young-adult']"
551,Life After Life,"['alternate-history', 'drama', 'fantasy']"
552,The Rescue,"['drama', 'mystery', 'young-adult']"
553,Needful Things,"['drama', 'science-fiction', 'suspense']"
554,"Voyager (Outlander, #3)","['drama', 'paranormal-romance', 'travel']"
555,"Hamlet: Screenplay, Introduction And Film Diary","['drama', 'historical-fiction', 'poetry', 'romance', 'young-adult']"
556,Cujo,"['fantasy', 'mystery', 'science-fiction']"
557,The Virgin Suicides,"['historical-fiction', 'romance']"
558,"Dead to the World (Sookie Stackhouse, #4)","['science-fiction', 'suspense', 'young-adult']"
559,Tess of the D'Urbervilles,['drama']
560,Madame Bovary,['drama']
561,The Phantom Tollbooth,"['math', 'science-fiction']"
562,"The Way of Kings (The Stormlight Archive, #1)",['science-fiction']
563,"Club Dead (Sookie Stackhouse, #3)","['science-fiction', 'suspense', 'young-adult']"
564,It's Kind of a Funny Story,['drama']
565,"The Well of Ascension (Mistborn, #2)","['mystery', 'science-fiction']"
566,"After You (Me Before You, #2)","['drama', 'young-adult']"
567,The Language of Flowers,"['drama', 'historical-fiction']"
568,"Batman: The Dark Knight Returns (The Dark Knight Saga, #1)","['comic-book', 'crime', 'mystery', 'science-fiction', 'thriller', 'young-adult']"
569,"The Angel Experiment (Maximum Ride, #1)","['science', 'suspense']"
570,High Fidelity,['drama']
571,The Guardian,"['drama', 'mystery', 'suspense', 'thriller', 'young-adult']"
572,"Oryx and Crake (MaddAddam, #1)","['romance', 'science']"
573,"Men Are from Mars, Women Are from Venus","['chick-lit', 'health', 'romance']"
574,Kitchen Confidential: Adventures in the Culinary Underbelly,"['cookbook', 'travel']"
575,Timeline,"['science', 'travel']"
576,Candide,"['drama', 'fantasy', 'history']"
577,Tuck Everlasting,['science-fiction']
578,Christine,"['fantasy', 'mystery', 'science-fiction', 'suspense']"
579,Are You My Mother?,"['fantasy', 'science', 'young-adult']"
581,"Scarlet (The Lunar Chronicles, #2)",['paranormal-romance']
582,"Rich Dad, Poor Dad",['biography']
583,"Silence (Hush, Hush, #3)",['mystery']
584,The Magicians (The Magicians #1),"['romance', 'science-fiction']"
585,"Death Note, Vol. 1: Boredom (Death Note, #1)","['crime', 'drama', 'suspense', 'young-adult']"
586,"A Great and Terrible Beauty (Gemma Doyle, #1)","['chick-lit', 'coming-of-age', 'history', 'paranormal-romance']"
587,Everything Is Illuminated,"['drama', 'history', 'travel']"
588,"The Bourne Supremacy (Jason Bourne, #2)",['crime']
589,"Easy (Contours of the Heart, #1)",['drama']
590,David Copperfield,"['coming-of-age', 'drama', 'romance', 'young-adult']"
591,The Absolutely True Diary of a Part-Time Indian,"['biography', 'graphic-novel']"
592,The Master and Margarita,"['history', 'horror', 'mystery', 'romance']"
593,"A Wizard of Earthsea (Earthsea Cycle, #1)",['coming-of-age']
594,Because of Winn-Dixie,"['coming-of-age', 'historical-fiction']"
595,A Separate Peace,"['coming-of-age', 'drama', 'historical-fiction', 'history']"
596,The Rainmaker,['drama']
597,Don Quixote,"['history', 'satire']"
598,"Assassin's Apprentice (Farseer Trilogy, #1)","['coming-of-age', 'science-fiction']"
599,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)","['science', 'young-adult']"
600,"Torment (Fallen, #2)",['mystery']
601,The Tale of Peter Rabbit,['young-adult']
603,"The Hero of Ages (Mistborn, #3)","['mystery', 'romance', 'science-fiction', 'young-adult']"
604,"Girl, Interrupted","['chick-lit', 'coming-of-age', 'drama', 'health', 'young-adult']"
605,"Are You There, Vodka? It's Me, Chelsea",['autobiography']
606,Jonathan Livingston Seagull,"['poetry', 'young-adult']"
608,Love You Forever,"['poetry', 'young-adult']"
609,Cell,"['mystery', 'suspense']"
610,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"['historical-fiction', 'memoir']"
611,The Silmarillion (Middle-Earth Universe),"['history', 'science-fiction', 'young-adult']"
612,"The Drawing of the Three (The Dark Tower, #2)","['mystery', 'science', 'suspense']"
613,The Forgotten Garden,"['drama', 'history', 'mystery', 'suspense']"
614,The Trial,"['crime', 'drama', 'fantasy', 'horror', 'mystery', 'science-fiction']"
615,This Lullaby,"['coming-of-age', 'drama']"
616,Plain Truth,"['chick-lit', 'drama', 'historical-fiction', 'mystery', 'thriller', 'young-adult']"
617,Orange Is the New Black,"['chick-lit', 'true-crime']"
620,"The Mists of Avalon (Avalon, #1)","['history', 'science-fiction', 'young-adult']"
621,"Are You There God? It's Me, Margaret",['chick-lit']
622,Nights in Rodanthe,"['drama', 'young-adult']"
624,"All Together Dead (Sookie Stackhouse, #7)","['science-fiction', 'young-adult']"
